"Kanton";"Gebäudekategorie";"Anzahl Geschosse";"Anzahl Wohnungen";"Vor 1919 2021";"1919-1945 2021";"1946-1960 2021";"1961-1970 2021";"1971-1980 2021";"1981-1990 2021";"1991-2000 2021";"2001-2005 2021";"2006-2021 2021"
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"4 Gesch.";"1 Whg";215;71;28;29;46;48;19;5;15
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"4 Gesch.";"2 Whg";92;52;9;7;18;18;20;3;8
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"4 Gesch.";"3-5 Whg";134;63;15;17;14;19;30;3;12
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"4 Gesch.";"6-9 Whg";20;10;13;12;13;17;14;0;6
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"4 Gesch.";"10+ Whg";1;3;1;7;7;7;5;2;5
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"5 Gesch.";"1 Whg";85;23;5;11;14;18;12;0;6
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"5 Gesch.";"2 Whg";32;7;1;3;3;5;1;0;2
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"5 Gesch.";"3-5 Whg";65;21;6;7;4;7;8;1;3
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"5 Gesch.";"6-9 Whg";25;5;3;6;9;4;4;0;3
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"5 Gesch.";"10+ Whg";6;3;2;8;5;5;2;0;10
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"6 Gesch.";"1 Whg";20;5;9;10;6;6;1;0;1
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"6 Gesch.";"2 Whg";17;0;4;2;1;3;3;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"6 Gesch.";"3-5 Whg";24;3;1;1;1;6;2;1;1
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"6 Gesch.";"6-9 Whg";12;3;2;2;2;1;1;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"6 Gesch.";"10+ Whg";2;3;1;1;2;1;2;0;2
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"7 Gesch.";"1 Whg";5;0;5;1;2;2;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"7 Gesch.";"2 Whg";1;1;2;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"7 Gesch.";"3-5 Whg";7;0;0;2;1;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"7 Gesch.";"6-9 Whg";3;1;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"7 Gesch.";"10+ Whg";0;1;0;3;2;1;0;0;2
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"8 Gesch.";"1 Whg";1;1;0;1;1;0;0;0;2
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"8 Gesch.";"2 Whg";0;0;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"8 Gesch.";"3-5 Whg";0;0;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"8 Gesch.";"6-9 Whg";0;0;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"8 Gesch.";"10+ Whg";0;0;1;0;0;0;0;0;1
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"9 Gesch.";"1 Whg";0;1;1;0;1;1;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"9 Gesch.";"2 Whg";0;1;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"9 Gesch.";"3-5 Whg";0;0;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"9 Gesch.";"6-9 Whg";0;0;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"9 Gesch.";"10+ Whg";0;0;1;0;0;1;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"10+ Gesch.";"1 Whg";0;0;0;1;2;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"10+ Gesch.";"2 Whg";0;0;0;0;1;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"10+ Gesch.";"3-5 Whg";0;0;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"10+ Gesch.";"6-9 Whg";0;0;0;0;0;0;0;0;0
"St. Gallen";"Gebäude mit teilweiser Wohnnutzung";"10+ Gesch.";"10+ Whg";0;0;0;2;1;0;0;0;1
